no,uclu,baslik,turkce_aciklama
1,"TR,DF_ISGUCU_CEYREK_FIIL_CALISMA_SURE_C,1.0",Actual Working Hours Of Employed,İstihdam edilenlerin fiili çalışma süreleri cinsiyet kırılımında çeyreklik olarak sunulmaktadır.
2,"TR,DF_ISGUCU_AYLIK_FIIL_CALISMA_SURE_C,1.0",Actual Working Hours of Employed,Türkiye’de cinsiyet düzeyinde 15+ yaş istihdam edilenlerin aylık fiili çalışma sürelerini sunmaktadır.
3,"TR,DF_ISGUCU_AYLIK_FIIL_CALISMA_SURE_O,1.0",Actual Working Hours of Employed-Revision History,Türkiye’de cinsiyet düzeyinde 15+ yaş istihdam edilenlerin aylık fiili çalışma sürelerini sunmaktadır.
4,"TR,DF_ISGUCU_CEYREK_FIIL_CALISMA_SURE_O,1.0",Actual Working Hours of Employed-Revision History,İstihdam edilenlerin fiili çalışma süreleri cinsiyet kırılımında çeyreklik olarak sunulmaktadır.
5,"TR,DF_DOGUM_IL_YASA_OZEL_DOGHIZ_C,1.0",Age Specific Fertility Rate by Provinces,Yıllara itibarıyla illere göre yaşa özel doğurganlık hızlarıdır.
6,"TR,DF_DOGUM_YASA_OZEL_DOGHIZ_C,1.0",Age Specific Fertility Rates,Yıllara göre yaşa özel doğurganlık hızlarıdır.
7,"TR,DF_ADNKS_T19,1.1",Age dependency ratio,"Tablo, 2007 yılından itibaren Türkiye toplamı için yıllık toplam, çocuk ve yaşlı bağımlılık oranlarını içermektedir. Toplam yaş bağımlılık oranı: “15-64” yaş grubundaki her 100 kişi için ""0-14"" ve ""65 ve daha yukarı"" yaş gruplarındaki kişi sayısıdır. Çocuk bağımlılık oranı: “15-64” yaş grubundaki her 100 kişi için ""0-14"" yaş grubundaki kişi sayısıdır. Yaşlı bağımlılık oranı: “15-64” yaş grubundaki her 100 kişi için ""65 ve daha yukarı"" yaş grubundaki kişi sayısıdır."
8,"TR,DF_ADNKS_T24,1.1",Age dependency ratio by provinces,"Tablo, 2007 yılından itibaren il düzeyinde yıllık toplam/çocuk/yaşlı bağımlılık oranlarını içermektedir. Toplam yaş bağımlılık oranı: “15-64” yaş grubundaki her 100 kişi için ""0-14"" ve ""65 ve daha yukarı"" yaş gruplarındaki kişi sayısıdır. Çocuk bağımlılık oranı: “15-64” yaş grubundaki her 100 kişi için ""0-14"" yaş grubundaki kişi sayısıdır. Yaşlı bağımlılık oranı: “15-64” yaş grubundaki her 100 kişi için ""65 ve daha yukarı"" yaş grubundaki kişi sayısıdır."
9,"TR,DF_TARIMSAL_GIRDI_FIYAT_ENDEKSI_DEGISIM_V2,1.0",Agricultural Input Price Index Numbers and Rate of Changes [2020=100],Tarımsal üretimde kullanılan girdilerin fiyat düzeylerindeki değişimleri ve endeks değerlerini ve sektördeki maliyet hareketlerini kapsamlı biçimde sunmaktadır.
10,"TR,DF_TARIM_URUNLERI_GRUP_MADDE_ENDEKS_TAORBA_V2,1.0",Agriculture-PPI [2020=100] Group and Item Indices (TAORBA-2008_2),"Tarım ÜFE Grup ve Madde Endeksleri tablosu, tarım sektöründeki grup ve madde bazında endeks seviyelerini sunmaktadır."
11,"TR,DF_HAVA_EMISYON_HESAP,1.0",Air Emission Accounts by Economic Activity,Ekonomik faaliyetlere göre hava emisyon hesapları ile ilgili verileri içerir.
12,"TR,DF_SU_ATIKSU_ALICI_ORTAM_TUR_DESARJ_V1,1.0",Amount of Wastewater Discharged by Receiving Bodies,"Endüstriyel sektörler, belediyeler ve köyler tarafından deşarj edilen atıksu miktarına ilişkin istatistikleri alıcı ortam bazında sunmaktadır."
13,"TR,DF_SU_ATIKSU_ALICI_ORTAM_BELEDIYE_SEBEKE_V1,1.0",Amount of Wastewater Discharged from Municipal Sewerage by Receiving Bodies,Belediye kanalizasyon şebekelerinden deşarj edilen atıksu miktarını alıcı ortam türlerine göre Türkiye bazında ve tüm yıllar için zaman serisi olarak sunmaktadır.
14,"TR,DF_SU_ATIKSU_DOGAL_KAYNAK_CEKILEN_MIKTAR_V1,1.0",Amount of Water Abstracted from Natural Resources,"Endüstriyel sektörler, belediyeler ve köyler tarafından doğal kaynaklardan çekilen su miktarlarına ilişkin istatistikleri deniz, yeraltı, yüzey suyu detayında sunmaktadır."
15,"TR,DF_SU_ATIKSU_DOGAL_KAYNAK_SEBEKE_SUYU_MIKTAR_V1,1.0",Amount of Water Supplied from Natural Resources and Water Supply Networks,Endüstriyel sektörler ve haneler için kullanım amacıyla doğal kaynaklardan ve şebekelerden temin edilen su miktarlarına ilişkin istatistikleri sunmaktadır.
16,"TR,DF_SU_ATIKSU_DOGRUDAN_ALICI_ORTAM_DESARJ_V1,1.0",Amount of wastewater Discharged to Receiving Bodies,"Endüstriyel sektörler, belediyeler ve köyler tarafından doğrudan alıcı ortamlara deşarj edilen atıksu miktarlarına ilişkin istatistikleri soğutma suyu ve diğer atıksular detayında sunmaktadır."
17,"TR,DF_ADNKS_T29,1.1",Annual growth rate of population and population density of provinces by years,"Tablo, 2007 yılından itibaren il düzeyinde yıllık olarak nüfus artış hızı ve nüfus yoğunluğu bilgilerini içermektedir.Yıllık nüfus artış hızları hesaplanırken son yıl idari bölünüş yapısı dikkate alınmaktadır. Nüfus yoğunluğu, bir kilometrekareye düşen nüfus olarak tanımlanmaktadır ve nüfusun kilometrekare cinsinden yüzölçümüne bölünmesiyle hesaplanmaktadır. Uluslararası tanımlar gereğince; nüfus yoğunluğu göstergesi “ülke içi su kütleleri (doğal ve baraj gölleri, nehirler ve kıta sahanlığı vb.)” hariç karasal yüzölçümü kullanılarak hesaplanmaktadır."
18,"TR,DF_ADNKS_T38,1.1",Annual growth rate of population by provinces and districts,"Tablo, son yıl için il ve ilçe düzeyinde yıllık nüfus artış hızı bilgisini içermektedir. Yıllık nüfus artış hızları hesaplanırken son yıl idari bölünüş yapısı dikkate alınmaktadır."
19,"TR,DF_TARIMSAL_ISLETME_ISGUCU_ORTALAMA_UCRET_V2,1.0",Average daily and monthly wages of agricultural workers,"Bu tablo, 2024 ve 2025 yıllarını kapsayan tarım sektörü işgücü maliyetlerini ve bu süreçteki yıllık değişim oranlarını özetlemektedir. Veriler, mevsimlik işçilerin günlük ücretleri ile sürekli işçilerin aylık ücretleri üzerinden iki temel kategoride sunulmuştur. Tablo; genel ortalamanın yanı sıra kadın ve erkek çalışanlar arasındaki ücret farklarını ve yıllık bazdaki yüzde (%) artış oranlarını göstererek, tarımsal işgücü piyasasındaki ekonomik eğilimleri ve ücret gelişimini analiz etmektedir."
20,"TR,DF_TARIMSAL_ISLETME_ISGUCU_FAALIYETE_GORE_V2,1.0",Average daily wages of seasonal agricultural workers by selected activities,"Bu tablo, tarımsal üretim sürecinde yer alan spesifik iş kollarında mevsimlik işçilere ödenen ortalama günlük ücretlerin faaliyet bazlı dökümünü içermektedir. Arazinin temizlenmesinden tohum ekimine, sulamadan hasat ve harman işlemlerine kadar 14 farklı tarımsal uzmanlık alanı listelenmiştir. Tablo, ücretlerin faaliyet kollarındaki dağılımını kadın ve erkek çalışan ayrımında göstererek, tarımsal iş kollarındaki işgücü maliyetlerini somutlaştırmaktadır."
21,"TR,DF_ADNKS_T25,1.1",Average size of households by provinces,"Tablo, 2008 yılından itibaren il düzeyinde yıllık ortalama hanehalkı büyüklüğü bilgisini içermektedir. Hanehalkı: aralarında akrabalık bağı bulunsun ya da bulunmasın aynı adreste yaşayan bir veya birden fazla kişiden oluşan topluluk olarak tanımlanmaktadır. Hanehalkı nüfusu belirlenirken toplu yaşam alanlarında (kurumsal yerler, işçi barakaları, misafirhane, otel, vb.) kalanlar hariç tutulmaktadır. Bu tanım uluslararası hanehalkı-konut konseptine (household-dwelling) dayanmaktadır. Ortalama hanehalkı büyüklüğü toplam hanehalkı nüfusunun toplam hanehalkı sayısına bölünmesiyle elde edilmektedir."
22,"TR,DF_TARIMSAL_ISLETME_ISGUCU_ILLERE_GORE_V2,1.0",Average wages paid to workers by provinces,"Tabloda, Türkiye'nin seçilmiş illerinde tarım sektöründe çalışanların kazançları; mevsimlik işçilerin günlük ücretleri ve sürekli işçilerin aylık ücretleri bazında, kadın ve erkek ayrımı yapılarak (TL cinsinden) sunulmuştur."
23,"TR,DF_BILANCO_HESAPLAR_NACEREV2,1.0",Balance Sheet of Companies by Economic Activity and Year (NACE Rev.2) (2009-2022),Ekonomik Faaliyetlere ve Yıllara göre Firmaların Bilanço Hesapları (NACE Rev.2) (2009-2022)
24,"TR,DF_BILANCO_HESAPLAR_NACEREV21,1.0",Balance Sheet of Companies by Economic Activity and Year (NACE Rev.2.1),Ekonomik Faaliyetlere ve Yıllara Göre Firmaların Bilanço Hesapları (NACE Rev.2.1)
25,"TR,DF_DOGUM_TEMEL_DOG_GOST_C,1.0",Basic Fertility Indicators,Yıllara göre temel doğurganlık göstergeleridir.
26,"TR,DF_SEKTOR_BILANCO_TEMEL_NACEREV21,1.0",Basic Indicators By Economic Activity (NACE Rev.2.1),Ekonomik Faaliyetlere Göre Temel Göstergeler (NACE Rev.2.1)
27,"TR,DF_YAPISAL_EFGTG,1.0",Basic Indicators by Economic Activity,Ekonomik Faaliyetlere Göre Temel Göstergeler
28,"TR,DF_YAPISAL_EFGTG_NACEREV21,1.0",Basic Indicators by Economic Activity (NACE Rev.2.1),Ekonomik Faaliyetlere Göre Temel Göstergeler (NACE Rev.2.1)
29,"TR,DF_SEKTOR_BILANCO_KOBI_NACEREV2,1.0",Basic Indicators by Economic Activity and Year (Including SME Size) (NACE Rev.2) (2009-2022),Ekonomik Faaliyetlere ve Yıllara göre Temel Göstergeler(Kobi Büyüklüğü Eklenmiş) (NACE Rev.2) (2009-2022)
30,"TR,DF_SEKTOR_BILANCO_KOBI_NACEREV21,1.0",Basic Indicators by Economic Activity and Year (NACE Rev.2.1),Ekonomik Faaliyetlere ve Yıllara göre Temel Göstergeler(Kobi Büyüklüğü Eklenmiş) (NACE Rev.2.1)
31,"TR,DF_YAPISAL_EFGTG_BUYUKLUK,1.0",Basic Indicators by Size Class and Economic Activity,Ekonomik Faaliyet ve Büyüklük Grubuna Göre Temel Göstergeler
32,"TR,DF_YAPISAL_EFGTG_BUYUKLUK_NACEREV21,1.0",Basic Indicators by Size Class and Economic Activity (NACE Rev.2.1),Ekonomik Faaliyet ve Büyüklük Grubuna Göre Temel Göstergeler (NACE Rev.2.1)
33,"TR,DF_YAPISAL_EFGTG_IMALAT_TEKNO,1.0",Basic Indicators in Manufacturing Industry by Technology Level,İmalat Sanayinde Teknoloji Düzeyine Göre Temel Göstergeler
34,"TR,DF_YAPISAL_EFGTG_IMALAT_TEKNO_NACEREV21,1.0",Basic Indicators in Manufacturing Industry by Technology Level (NACE Rev.2.1),İmalat Sanayinde Teknoloji Düzeyine Göre Temel Göstergeler (NACE Rev.2.1)
35,"TR,DF_TUFE_SDMX_TT04,1.0",Basket of goods and services and weights of consumer price index (CPI),Tüketici fiyat endeksi (TÜFE) mal ve hizmet sepeti ve ağırlıklar
36,"TR,DF_BIYOTEKNOLOJI_AR_GE_HARCAMALARI_V2,1.0",Biotechnology R&D expenditures,Biyoteknoloji Ar-Ge harcamalarına ilişkin veri içerir.
37,"TR,DF_BD_DOGUM_OLUM,1.1",Birth and Death Indicators,"Girişimlerin tüm Türkiye ve bölgesel bazda, yıllara göre doğum, ölüm ve bu demografik olayların yarattığı/kaybettirdiği istihdamı ile ilgili göstergelerdir."
